title,revenue,budget,popularity,voteAverage
Pirates of the Caribbean: At World's End,961000000,300000000,31363664,6.9
Superman Returns,391081192,270000000,13284712,5.4
Spider-Man 3,890871626,258000000,27614265,5.9
Harry Potter and the Half-Blood Prince,933959197,250000000,19083723,7.4
Avatar,2787965087,237000000,185070892,7.2
The Chronicles of Narnia: Prince Caspian,419651413,225000000,12490891,6.3
X-Men: The Last Stand,459359555,210000000,867943,6.3
King Kong,550000000,207000000,19761164,6.6
Titanic,1845034188,200000000,2688907,7.5
Terminator 3: Rise of the Machines,435000000,200000000,20818907,5.9
Spider-Man 2,783766341,200000000,10834506,6.7
Pirates of the Caribbean: Dead Man's Chest,1065659812,200000000,29455314,7
Quantum of Solace,586090727,200000000,1367812,6.1
Terminator Salvation,371353001,200000000,16507496,5.9
A Christmas Carol,325233863,200000000,12869273,6.6
2012,769653595,200000000,16698628,5.6
The Dark Knight,1004558444,185000000,123167259,8.3
Indiana Jones and the Kingdom of the Crystal Skull,786636033,185000000,12577266,5.7
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",748806957,180000000,1813542,6.7
The Golden Compass,372234864,180000000,11481379,5.8
WALL·E,521311860,180000000,16088366,7.8
Waterworld,264218220,175000000,16885184,5.9
Troy,497409852,175000000,15387275,6.9
Evan Almighty,173000000,175000000,9156877,5.3
Monsters vs Aliens,381509870,175000000,14243634,6
Up,735099082,175000000,19330884,7.8
G.I. Joe: The Rise of Cobra,302469017,175000000,11787058,5.6
Wild Wild West,222104681,170000000,9887602,5.1
The Polar Express,305875730,165000000,1427536,6.4
Speed 2: Cruise Control,164508066,160000000,11268531,4.1
The 13th Warrior,61698899,160000000,10308026,6.4
Van Helsing,300257475,160000000,12643312,6
Poseidon,181674817,160000000,6581669,5.5
Shrek the Third,798958165,160000000,14072479,6
Alexander,167298192,155000000,13498641,5.6
Tarzan,448000000,150000000,12453452,7.1
The Matrix Reloaded,738599701,150000000,16229317,6.7
The Matrix Revolutions,424988211,150000000,15368205,6.4
Master and Commander: The Far Side of the World,212011111,150000000,8693298,6.9
Shrek 2,919838758,150000000,1622986,6.7
Charlie and the Chocolate Factory,474968763,150000000,22038405,6.7
Batman Begins,374218673,150000000,28505341,7.5
Chicken Little,314432665,150000000,18584609,5.6
Harry Potter and the Goblet of Fire,895921036,150000000,24903058,7.5
Mission: Impossible III,397850012,150000000,15687983,6.5
Casino Royale,599045960,150000000,23065078,7.3
Ratatouille,623722818,150000000,2050803,7.5
Meet the Robinsons,169332978,150000000,10529576,6.7
Transformers,709709780,150000000,5587707,6.6
Harry Potter and the Order of the Phoenix,938212738,150000000,213643,7.4
Bee Movie,287594577,150000000,8774374,5.7
I Am Legend,585349010,150000000,11379355,6.9
The Incredible Hulk,163712074,150000000,19125537,6.1
Hancock,624029371,150000000,11017324,6.2
Madagascar: Escape 2 Africa,603900354,150000000,12668733,6.2
Bolt,309979994,150000000,15580915,6.3
The Curious Case of Benjamin Button,333932083,150000000,17934821,7.3
X-Men Origins: Wolverine,373062864,150000000,1456541,6.2
Star Trek,385680446,150000000,15362632,7.4
Angels & Demons,356613439,150000000,22211558,6.5
Night at the Museum: Battle of the Smithsonian,413106170,150000000,15417181,5.9
Transformers: Revenge of the Fallen,836297228,150000000,4351756,6
G-Force,292817841,150000000,9163791,5.1
Flushed Away,64459316,149000000,9922577,6
The Alamo,25819961,145000000,12240901,5.8
The Mummy: Tomb of the Dragon Emperor,401128639,145000000,14250227,5.2
Armageddon,553799566,140000000,13235112,6.5
Lethal Weapon 4,285444603,140000000,14470551,6.3
Pearl Harbor,449220945,140000000,11419388,6.6
Men in Black II,441818803,140000000,16775716,6.1
Die Another Day,431971116,140000000,12996474,5.8
Treasure Planet,109578115,140000000,16141913,7.2
Pirates of the Caribbean: The Curse of the Black Pearl,655011224,140000000,47326665,7.5
The Last Samurai,456758981,140000000,19582325,7.3
Lemony Snicket's A Series of Unfortunate Events,209073645,140000000,12817945,6.7
Rush Hour 3,258022233,140000000,9718111,6.1
Iron Man,585174222,140000000,22073099,7.4
Spider-Man,821708551,139000000,29413341,6.8
Final Fantasy: The Spirits Within,85131830,137000000,10223851,5.9
Hulk,245360480,137000000,15422638,5.3
The World Is Not Enough,361832400,135000000,12130127,6
Stealth,76932943,135000000,1389018,4.9
Miami Vice,163794509,135000000,1172545,5.7
Stuart Little,300135367,133000000,83595,5.8
War of the Worlds,591739379,132000000,19929377,6.2
Godzilla,379014294,130000000,11295121,5.3
Bad Boys II,273339556,130000000,8191436,6.3
Harry Potter and the Prisoner of Azkaban,789804554,130000000,28460276,7.7
Sahara,119269486,130000000,8946243,5.7
Kingdom of Heaven,211643158,130000000,16296471,6.6
Fantastic 4: Rise of the Silver Surfer,289047763,130000000,12924254,5.4
National Treasure: Book of Secrets,457363168,130000000,12854373,6.1
Kung Fu Panda,631744560,130000000,16897541,6.9
Watchmen,185258983,130000000,16551503,7
Australia,49554002,130000000,9566135,6.3
Dinosaur,354248063,127500000,9998415,6.2
The Island,162949164,126000000,11443647,6.5
Batman & Robin,238207122,125000000,17038824,4.2
Mission: Impossible II,546388105,125000000,1897178,5.9
Harry Potter and the Philosopher's Stone,976475550,125000000,38187238,7.5
The Day After Tomorrow,544272402,125000000,15049695,6.2
The Da Vinci Code,767820459,125000000,18566706,6.5
How the Grinch Stole Christmas,345141403,123000000,11642462,6.2
A Bug's Life,363258859,120000000,16869209,6.8
The Perfect Storm,325756637,120000000,18911961,6.2
Atlantis: The Lost Empire,186053725,120000000,10901602,6.7
Star Wars: Episode II - Attack of the Clones,649398328,120000000,14072511,6.4
Stuart Little 2,169956806,120000000,9274909,5.4
Charlie's Angels: Full Throttle,259175788,120000000,7821116,5.2
King Arthur,203567857,120000000,8862107,6.1
"I, Robot",347234916,120000000,1443075,6.7
Cars,461983149,120000000,18907948,6.6
Speed Racer,93945766,120000000,7134168,5.7
Dante's Peak,178127760,116000000,7240753,5.8
The Aviator,102000000,116000000,986738,7
True Lies,378882411,115000000,11396099,6.8
Star Wars: Episode I - The Phantom Menace,924317558,115000000,15649091,6.4
Lara Croft: Tomb Raider,274703340,115000000,15851722,5.7
"Monsters, Inc.",562816256,115000000,26419962,7.5
Windtalkers,77628265,115000000,7455875,5.8
Star Wars: Episode III - Revenge of the Sith,850000000,113000000,13165421,7.1
Tomorrow Never Dies,333011068,110000000,17159576,6
The Patriot,215294342,110000000,15960788,6.8
X2,407711549,110000000,913096,6.8
Home on the Range,103951461,110000000,8555544,5.7
Around the World in 80 Days,72178895,110000000,7825072,5.7
Ocean's Twelve,362744280,110000000,11869347,6.4
Mr. & Mrs. Smith,478207520,110000000,15724373,6.5
Night at the Museum,574480841,110000000,16661966,6.4
Ghost Rider,228738393,110000000,11902354,5.2
Live Free or Die Hard,383531464,110000000,14886039,6.4
Ali,87713825,107000000,9303104,6.7
Starship Troopers,121214377,105000000,14412644,6.7
The Chronicles of Riddick,115772733,105000000,5060352,6.3
"10,000 BC",266000000,105000000,1399377,5.1
The Princess and the Frog,267045765,105000000,16616517,6.7
Gladiator,457640427,103000000,23186667,7.9
Swordfish,147080413,102000000,9646208,6.1
Minority Report,358372926,102000000,20666063,7.1
Batman Forever,336529144,100000000,13321354,5.2
Terminator 2: Judgment Day,520000000,100000000,22661695,7.7
The Hunchback of Notre Dame,100138851,100000000,13553999,6.8
Eraser,242295562,100000000,6919314,5.6
Sleepy Hollow,206071502,100000000,11072361,6.9
End of Days,211989043,100000000,962371,5.5
Bicentennial Man,93700000,100000000,9369918,6.9
What Lies Beneath,155464351,100000000,9500497,6.3
The Emperor's New Groove,169327687,100000000,12297375,7.2
A.I. Artificial Intelligence,235926552,100000000,13249364,6.8
Planet of the Apes,362211740,100000000,17319836,5.6
K-19: The Widowmaker,35168966,100000000,7718723,6.1
The Adventures of Pluto Nash,7103973,100000000,8903754,4.4
Harry Potter and the Chamber of Secrets,876688482,100000000,29741452,7.4
Gangs of New York,193772504,100000000,14922399,7.1
Peter Pan,121975011,100000000,898628,6.9
Hidalgo,108103450,100000000,8140709,6.5
Catwoman,82102379,100000000,13340272,4.2
National Treasure,347451894,100000000,18932203,6.4
Constantine,230884728,100000000,9615691,6.6
Fantastic Four,330579719,100000000,19382082,5.5
Fun with Dick and Jane,202026112,100000000,13473381,5.9
Happy Feet,384335608,100000000,15088318,5.9
Blood Diamond,170877916,100000000,12477872,7.4
Eragon,249288105,100000000,9851133,4.9
American Gangster,266465037,100000000,9644542,7.4
Fred Claus,97838349,100000000,5502098,5.5
Land of the Lost,68688831,100000000,7642063,5.4
The Taking of Pelham 1 2 3,150166126,100000000,1509911,6.2
Cloudy with a Chance of Meatballs,242988466,100000000,11665693,6.5
Where the Wild Things Are,100086793,100000000,1236223,6.4
Cutthroat Island,10017322,98000000,7284477,5.7
The Mummy Returns,433013274,98000000,16945657,6
The Mask of Zorro,250288523,95000000,11348096,6.3
The Road to El Dorado,76432727,95000000,8755188,7
Hollow Man,190213455,95000000,7912103,5.6
Lara Croft Tomb Raider: The Cradle of Life,156505388,95000000,13076349,5.5
Driven,54744738,94000000,5310558,4.5
Finding Nemo,940335536,94000000,25497794,7.6
The Lord of the Rings: The Return of the King,1118888979,94000000,29324358,8.1
The Lord of the Rings: The Fellowship of the Ring,871368364,93000000,32070725,8
Metropolis,650422,92620000,14487867,8
Twister,494471524,92000000,8739144,6.1
Charlie's Angels,264105545,92000000,9774985,5.6
Spy Game,143049560,92000000,18186839,6.8
Black Hawk Down,172989651,92000000,10064446,7.2
The Incredibles,631442092,92000000,22220214,7.4
Tropic Thunder,188072649,92000000,8980941,6.5
Die Hard: With a Vengeance,366101666,90000000,15138855,6.9
Judge Dredd,113493481,90000000,8184815,5.4
The Devil's Own,140807547,90000000,10675073,5.9
The Fifth Element,263920180,90000000,2430526,7.3
Men in Black,589390539,90000000,15781024,6.9
Contact,171120329,90000000,14374866,7.2
Mulan,304320254,90000000,21180857,7.6
Meet Joe Black,142940100,90000000,14026744,6.9
Enemy of the State,250649836,90000000,12978751,6.7
Babe: Pig in the City,69131860,90000000,6229629,5.3
Payback,161626121,90000000,9112008,6.7
The Insider,60289912,90000000,113569,7.3
Toy Story 2,497366869,90000000,17547693,7.3
Supernova,14828081,90000000,5496624,4.9
Mission to Mars,60874615,90000000,9021107,5.7
Gone in Sixty Seconds,237202299,90000000,14091765,6.1
Cast Away,429632142,90000000,21296343,7.5
Rush Hour 2,347325802,90000000,8345985,6.4
The Haunted Mansion,182290266,90000000,11605735,5.1
The Stepford Wives,102000000,90000000,1081552,5.4
The Departed,289847354,90000000,18515448,7.9
Flags of Our Fathers,65900249,90000000,9224494,6.7
The Spiderwick Chronicles,162839667,90000000,11133784,6.3
You Don't Mess with the Zohan,201596308,90000000,13116461,5.5
Ice Age: Dawn of the Dinosaurs,886686817,90000000,12980624,6.5
Sherlock Holmes,524028679,90000000,1568604,7
Cinderella Man,108539911,88000000,6363884,7.3
The Brothers Grimm,105316267,88000000,1566148,5.6
Hannibal,351692268,87000000,248875,6.4
Seabiscuit,148336445,87000000,7851669,6.8
Arthur and the Invisibles,107944236,86000000,11621534,6
Awake,14373825,86000000,7076062,6.3
Last Action Hero,137298489,85000000,9434006,6.1
Hercules,252712101,85000000,14048694,7.3
Air Force One,315156409,85000000,12173291,6.2
What Dreams May Come,71485043,85000000,11218378,6.8
102 Dalmatians,183611771,85000000,7668752,5.1
Ocean's Eleven,450717150,85000000,12114932,7.2
Collateral Damage,78382433,85000000,10175503,5.5
Showtime,77741732,85000000,4917863,5.3
The Rundown,80916492,85000000,8304835,6.4
Bewitched,131426169,85000000,9276085,4.8
Memoirs of a Geisha,162242962,85000000,7680762,7.3
The Fast and the Furious: Tokyo Drift,158468292,85000000,2238808,6.1
Open Season,197309027,85000000,11744242,6.1
The Holiday,194168700,85000000,14043416,6.7
Charlotte's Web,144000000,85000000,10254314,5.8
The Good Shepherd,59908565,85000000,11057536,6.3
Ocean's Thirteen,311312624,85000000,1216276,6.5
Surf's Up,149044513,85000000,11526339,5.9
I Now Pronounce You Chuck & Larry,186072214,85000000,6645799,5.8
Enchanted,340487652,85000000,11447798,6.6
Hellboy II: The Golden Army,160388063,85000000,11928661,6.5
Jumper,222231186,85000000,1103897,5.9
Horton Hears a Who!,297138014,85000000,8326699,6.3
Fast & Furious,363164265,85000000,1498902,6.5
It's Complicated,219103655,85000000,9083133,6.2
Nutty Professor II: The Klumps,123307945,84000000,6671316,4.7
Scooby-Doo,275650703,84000000,8592826,5.4
The Flintstones in Viva Rock Vegas,59468275,83000000,6053595,4.4
Click,237681299,82500000,9796552,6
Man on the Moon,47434430,82000000,13217419,6.9
The 6th Day,96085477,82000000,841311,5.7
The Longest Yard,190320568,82000000,7349843,6.2
Red Cliff,127814609,80341000,11867516,7.1
Mission: Impossible,457696359,80000000,15793477,6.7
Space Jam,250200000,80000000,11054251,6.5
Daylight,159212469,80000000,11995799,5.8
Ransom,309492681,80000000,8772188,6.4
The Manchurian Candidate,96105910,80000000,7991677,7.7
Batman Returns,280000000,80000000,15001681,6.6
Face/Off,245676146,80000000,11467391,6.8
Flubber,177977226,80000000,7016942,5.3
The Postman,17626234,80000000,6537407,6.1
Lost in Space,136159423,80000000,12000579,5
Message in a Bottle,118880016,80000000,5101392,5.9
Analyze This,176885658,80000000,7634017,6.4
Life,73345029,80000000,7579444,6.4
The Mummy,415885488,80000000,23984065,6.6
The Haunting,91188905,80000000,8967638,5.2
Fantasia 2000,90874570,80000000,14972573,7
The Legend of Bagger Vance,39459427,80000000,9034884,6.4
Red Planet,33463969,80000000,8534176,5.4
Thirteen Days,34566746,80000000,10204559,6.9
Evolution,98376292,80000000,5395127,5.7
The Time Machine,123729176,80000000,8918134,5.8
Spirit: Stallion of the Cimarron,122563539,80000000,16724836,7.4
Lilo & Stitch,145771527,80000000,18469238,7.1
Road to Perdition,181001478,80000000,13426684,7.3
Bruce Almighty,484572835,80000000,15947524,6.4
S.W.A.T.,116643346,80000000,13334952,5.8
Looney Tunes: Back in Action,68514844,80000000,13666488,5.6
Timeline,43935763,80000000,6982762,5.4
Something's Gotta Give,266728738,80000000,8524847,6.3
The Manchurian Candidate,96105964,80000000,10796939,6.2
Exorcist: The Beginning,78000586,80000000,1302369,4.7
A Sound of Thunder,5989640,80000000,4980191,4.8
Spanglish,55041367,80000000,11202764,5.8
The Interpreter,162944923,80000000,12047671,6.2
Meet the Fockers,516642939,80000000,11876386,6.1
The Great Raid,10166502,80000000,14987902,6.8
Ice Age: The Meltdown,660940780,80000000,16646029,6.5
The Wild,37384046,80000000,7904333,5.1
Over the Hedge,343397247,80000000,9382953,6.3
The Invasion,15071514,80000000,5228837,5.7
Get Smart,230685453,80000000,1135779,6
Eagle Eye,178066569,80000000,14324875,6.3
Four Christmases,163733697,80000000,7210383,5.3
The Day the Earth Stood Still,233093859,80000000,9265322,5.2
Bedtime Stories,212874442,80000000,10739419,5.9
Red Cliff Part II,121059225,80000000,7309903,7.1
Public Enemies,214104620,80000000,10364794,6.5
Surrogates,122444772,80000000,16211937,5.9
Nine,53825515,80000000,5658857,5.1
The Lord of the Rings: The Two Towers,926287400,79000000,29423537,8
Cold Mountain,173013509,79000000,9645543,6.7
Duplicity,60000000,78146652,9097953,5.7
Red Dragon,209196298,78000000,2968157,6.7
Daredevil,179179718,78000000,11415558,5
The League of Extraordinary Gentlemen,179265204,78000000,10488765,5.7
The Adventures of Rocky & Bullwinkle,35134820,76000000,11880936,3.9
2 Fast 2 Furious,236350661,76000000,232462,6.2
Children of Men,69959751,76000000,14114606,7.4
The Rock,335062621,75000000,13249824,6.9
Independence Day,816969268,75000000,17634197,6.7
Con Air,224012234,75000000,11545982,6.5
Conspiracy Theory,136982834,75000000,14261798,6.5
Sphere,13100000,75000000,7124735,5.8
Deep Impact,140464664,75000000,11644633,5.9
Practical Magic,46683377,75000000,7757795,6.3
Soldier,14567883,75000000,7970031,6.1
Virus,14010690,75000000,7116537,5
Forces of Nature,93888180,75000000,7906035,5.1
The Out-of-Towners,29000000,75000000,9019881,5.1
The Astronaut's Wife,19598588,75000000,14705865,5.5
Three Kings,108000000,75000000,12287636,6.6
Backdraft,152368585,75000000,9883727,6.4
Titan A.E.,36754634,75000000,7515631,6.3
Unbreakable,248118121,75000000,1467855,6.9
Vertical Limit,215663859,75000000,6548229,5.9
Monkeybone,5409517,75000000,8893957,4.2
Osmosis Jones,13596911,75000000,6405831,6
Bandits,67631903,75000000,13136791,6.2
Domestic Disturbance,54249294,75000000,6353996,5.4
We Were Soldiers,114660784,75000000,1134706,6.7
Anger Management,195745823,75000000,9409379,5.9
Hollywood Homicide,51142659,75000000,11080439,5
50 First Dates,196482882,75000000,11134888,6.6
The Bourne Supremacy,288500217,75000000,2040426,7.2
Shark Tale,367275019,75000000,17999273,5.8
Robots,260696994,75000000,12949715,6
Madagascar,532680671,75000000,16136217,6.6
The Legend of Zorro,142400065,75000000,8940007,5.9
Lady in the Water,42285169,75000000,8704554,5.3
Monster House,140175006,75000000,15402378,6.3
Déjà Vu,180557550,75000000,14922904,6.6
The Simpsons Movie,527068851,75000000,14302911,6.9
Charlie Wilson's War,119000410,75000000,9979162,6.5
Wanted,258270008,75000000,12457896,6.4
Valkyrie,200276000,75000000,8635464,6.7
Funny People,61458982,75000000,9900376,5.6
Alvin and the Chipmunks: The Squeakquel,443140005,75000000,9909961,5.3
Two Brothers,62172050,74500000,5300303,6.9
Snake Eyes,103891409,73000000,11604533,5.8
The Bone Collector,151493655,73000000,8884406,6.5
Talladega Nights: The Ballad of Ricky Bobby,162966177,72500000,6936688,6.2
Braveheart,210000000,72000000,20755149,7.7
The Last Castle,27642707,72000000,9807552,7
The Majestic,37317558,72000000,8063684,6.6
Signs,408247917,72000000,11211568,6.4
Jarhead,96889998,72000000,9997032,6.6
Doctor Dolittle,294456605,71000000,9439079,5.4
Cliffhanger,255000211,70000000,9830853,6.1
The Abyss,90000098,70000000,9809585,7.1
Die Hard 2,240031094,70000000,18785984,6.6
Mars Attacks!,101371017,70000000,1563424,6.1
Seven Years in Tibet,131457682,70000000,11483493,7
Alien: Resurrection,162000000,70000000,1557784,5.9
Hard Rain,19870567,70000000,6363405,5.5
Six Days Seven Nights,164000000,70000000,18324219,5.6
Saving Private Ryan,481840909,70000000,21758054,7.9
The Siege,116672912,70000000,9019114,6.1
Star Trek: Insurrection,118000000,70000000,9538877,6.3
The Prince of Egypt,218613188,70000000,11898185,6.9
A Civil Action,56702901,70000000,9353499,6.1
Runaway Bride,309457509,70000000,8919469,5.8
The Iron Giant,23159305,70000000,15441459,7.6
Chill Factor,11263966,70000000,3062626,5.3
Double Jeopardy,177841558,70000000,10876463,6.2
Who Framed Roger Rabbit,329803958,70000000,1678596,7.2
Hook,300854823,70000000,14508137,6.7
What Women Want,374111707,70000000,9963079,6.1
Dr. Dolittle 2,176104344,70000000,7906683,4.9
Hart's War,32287044,70000000,14116474,5.9
Bad Company,65977295,70000000,9540021,5.4
xXx,277448382,70000000,12722381,5.8
Ballistic: Ecks vs. Sever,19924033,70000000,9094558,4.3
I Spy,33561137,70000000,10404277,5.2
Tears of the Sun,85632458,70000000,10614987,6.4
Big Fish,122919055,70000000,14739983,7.6
Man on Fire,130293714,70000000,9635691,7.3
AVP: Alien vs. Predator,171183863,70000000,12636205,5.6
Sky Captain and the World of Tomorrow,57958696,70000000,964113,5.7
The Phantom of the Opera,154648887,70000000,7682562,7
Hitch,368100420,70000000,1335076,6.3
Munich,130358911,70000000,9668761,7
Rumor Has It...,88933562,70000000,6158212,5.3
Basic Instinct 2,38629478,70000000,15321902,4.6
The Guardian,55011732,70000000,10031817,6.8
Dreamgirls,154937680,70000000,7739633,6.6
Next,76066841,70000000,941746,5.9
Stardust,135560026,70000000,14784525,7.2
The Bourne Ultimatum,442824138,70000000,18173269,7.3
The Kingdom,86658558,70000000,13842333,6.5
The Brave One,69766619,70000000,118027,6.4
Beowulf,195735876,70000000,9951195,5.5
Dragon Wars: D-War,53587404,70000000,6280906,4
Fool's Gold,111231041,70000000,94548,5.4
Babylon A.D.,72108608,70000000,9273808,5.4
Body of Lies,113280098,70000000,12886125,6.5
Yes Man,225990978,70000000,9756289,6.4
Inglourious Basterds,319131050,70000000,1689564,7.9
Couples Retreat,171844840,70000000,15152577,5.3
Planet 51,104945765,70000000,1044244,5.6
The Saint,118063304,68000000,1097633,5.9
Mystery Men,29762011,68000000,10466306,5.7
Enemy at the Gates,96976270,68000000,10704813,7.2
The Score,71069884,68000000,14741992,6.7
Vanilla Sky,203388341,68000000,10071057,6.5
The Sum of All Fears,193000000,68000000,9268136,5.9
Dreamcatcher,75715436,68000000,7694847,5.2
Last Man Standing,47267001,67000000,11845918,6.2
The Last Legion,25303038,67000000,8920545,5
The X Files,189198313,66000000,12311615,6.6
Entrapment,212404396,66000000,1062333,6
Hellboy,99318987,66000000,13206854,6.5
Jumanji,262797249,65000000,17015539,6.9
The Long Kiss Goodnight,89456761,65000000,14482345,6.4
I Still Know What You Did Last Summer,40002112,65000000,11023042,5.1
You've Got Mail,250821495,65000000,10237996,6.3
My Favorite Martian,36850101,65000000,1265102,5.1
Eyes Wide Shut,162091208,65000000,13268484,7.1
Blue Streak,117758500,65000000,6229424,6.1
Total Recall,261317921,65000000,12954444,7.1
The Kid,69700000,65000000,15045725,6
Space Cowboys,128884132,65000000,745761,6.3
A Knight's Tale,117487473,65000000,1090061,6.6
The Santa Clause 2,172855065,65000000,5205729,5.5
Hudson Hawk,17218080,65000000,9782014,5.4
Collateral,217764291,65000000,13455112,7
Blade: Trinity,128905366,65000000,18860681,5.7
Zathura: A Space Adventure,64321501,65000000,10695639,6.1
We Are Marshall,43545364,65000000,5401746,6.7
Zodiac,84785914,65000000,19083823,7.3
300,422610419,65000000,18108408,7
Sex and the City,415252786,65000000,9170332,6
Step Brothers,128107642,65000000,8579638,6.5
Astro Boy,44091067,65000000,13293466,6.1
The Lovely Bones,93525586,65000000,12738789,6.6
Random Hearts,74608570,64000000,4140398,5.3
Little Man,101595121,64000000,7067602,5.3
Get Carter,19412993,63600000,6047757,4.8
Wyatt Earp,25052000,63000000,9277147,6.5
Jurassic Park,920100000,63000000,8863776,7.6
Rambo III,189015611,63000000,11624866,5.7
The Matrix,463517383,63000000,33366332,7.9
Fight Club,100853753,63000000,63869599,8.3
Austin Powers in Goldmember,296655431,63000000,8786653,5.9
World Trade Center,162945894,63000000,13332102,5.9
The American President,107879496,62000000,6318445,6.5
Clear and Present Danger,215887717,62000000,7513245,6.4
Lolita,1060056,62000000,10618141,7
U-571,127666415,62000000,7879924,6.1
3000 Miles to Graceland,18720175,62000000,476448,5.8
Matchstick Men,65565672,62000000,5539265,6.9
Æon Flux,52304001,62000000,12201912,5.4
The Love Guru,41819064,62000000,6258666,4.3
Shooter,95696996,61000000,14246918,6.9
Perfect Stranger,73090611,60795000,9925255,5.4
Heat,187436818,60000000,17924927,7.7
Money Train,35431113,60000000,7337906,5.4
Under Siege 2: Dark Territory,104324083,60000000,7490247,5.6
Interview with the Vampire,223664608,60000000,11970205,7.2
Junior,37000000,60000000,6710215,4.7
The Relic,33956608,60000000,7699967,5.8
Days of Thunder,157920733,60000000,7046753,5.9
Jingle All the Way,129832389,60000000,7898202,5.5
Event Horizon,26673242,60000000,11335072,6.4
Fire Down Below,16000000,60000000,783099,5
The Truman Show,264118201,60000000,13155901,7.8
The Jackal,159330280,60000000,11131917,6.1
The Horse Whisperer,186883563,60000000,7685548,6.7
U.S. Marshals,102367405,60000000,8462364,6.2
A Perfect Murder,128038368,60000000,9430812,6.3
The Avengers,48585416,60000000,9562953,4.4
Antz,171757863,60000000,16025625,6
Psycho,37141130,60000000,6715898,4.8
The General's Daughter,149705852,60000000,14039655,6.1
Deep Blue Sea,73648228,60000000,7493615,5.6
The Messenger: The Story of Joan of Arc,66976317,60000000,9471838,6.2
The Green Mile,284600000,60000000,1996678,8.2
Far and Away,137783840,60000000,7472753,6.3
Rules of Engagement,71000000,60000000,10278274,6
Almost Famous,47383689,60000000,9086699,7.4
15 Minutes,56359980,60000000,12149946,5.7
Along Came a Spider,105178561,60000000,13214068,6.1
Shrek,484409218,60000000,17987728,7.3
Cats & Dogs,93375151,60000000,8142251,5
A Beautiful Mind,313542341,60000000,1193646,7.7
Dragonfly,52322400,60000000,4924078,6.2
The Scorpion King,165333180,60000000,9488117,5.3
The Bourne Identity,214034224,60000000,21040126,7.3
Reign of Fire,43061982,60000000,13067306,6
Analyze That,55003135,60000000,9927412,5.7
Star Trek: Nemesis,67312826,60000000,11367801,6.1
